Company,Industry,Ownership,Location,Ratings,Founded,Cities,Reviews,Employee_Count,Salary,Interviews,Jobs
Hinduja Global Solutions,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,24,104,6600, 10k-50k ,24400,209,0
Oracle,Software Product ,Public,Bangalore / Bengaluru ,3,47,49,4500, 50k-1 Lakh ,57800,700,0
CGI Group,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,48,32,3900, 10k-50k ,42700,379,143
JPMorgan Chase & Co.,Financial Services ,Public,Bangalore / Bengaluru ,4,56,33,5200, 50k-1 Lakh ,73200,576,196
Bharti Airtel,Telecom ,Public,Gurgaon / Gurugram ,4,29,667,12200, 10k-50k ,44200,686,0
Dr. Reddy's,Pharma ,Public,Hyderabad / Secunderabad ,4,40,171,6100, 10k-50k ,24000,325,0
Hewlett Packard Enterprise,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,9,90,3500, 10k-50k ,30600,177,0
Cyient,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,33,35,3900, 10k-50k ,26000,244,0
BT Group,Telecom ,Forbes Global 2000,Gurgaon / Gurugram ,4,178,18,3300, 10k-50k ,10800,129,88
Ericsson,Telecom ,Forbes Global 2000,Bangalore / Bengaluru ,4,148,150,6500, 10k-50k ,43300,340,603
Startek,BPO ,Public,Bangalore / Bengaluru ,3,7,73,6600, 10k-50k ,22700,388,71
Aurobindo Pharma,Pharma ,Public,Hyderabad / Secunderabad ,4,38,95,4300, 10k-50k ,21600,205,0
American Express,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,4,174,41,2800, 10k-50k ,21300,279,162
Hexaware Technologies,IT Services & Consulting ,Fortune India 500,Chennai,3,34,47,5000, 10k-50k ,46300,561,805
First Source,BPO ,Public,Bangalore / Bengaluru ,3,23,55,4100, 10k-50k ,20600,239,0
State Street Corporation,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,3,232,20,2200, 10k-50k ,23400,172,0
Automatic Data Processing (ADP),Software Product ,Forbes Global 2000,Hyderabad / Secunderabad ,4,75,27,2700, 1k-5k ,20200,178,30
UnitedHealth,Healthcare ,Forbes Global 2000,Hyderabad / Secunderabad ,4,47,16,2500, 10k-50k ,20300,77,0
L&T Infotech,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,28,86,5300, 10k-50k ,72600,453,0
L&T Technology Services,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,12,52,3800, 10k-50k ,36300,420,0
Jio,Telecom ,Public,Hyderabad / Secunderabad ,4,6,1178,20400, 50k-1 Lakh ,65400,1400,118
Tata Elxsi,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,35,26,1700, 5k-10k ,17200,234,0
Quess,BPO ,Public,Bangalore / Bengaluru ,4,17,549,5700, 1k-5k ,25400,334,0
Kyndryl,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,2,27,2100, 10k-50k ,18300,120,0
Apollo Hospitals,Healthcare ,Public,Chennai,4,41,189,4100, 10k-50k ,15300,277,44
Syngene International,Pharma ,Public,Bangalore / Bengaluru ,3,31,15,1600, 1k-5k ,11100,130,36
Vodafone Idea,Telecom ,Public,Hyderabad / Secunderabad ,4,6,641,14200, 5k-10k ,56400,487,25
SAP,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,4,52,44,1500, 10k-50k ,14900,229,229
Verizon,Telecom ,Forbes Global 2000,Chennai,4,24,10,1300, 5k-10k ,10700,84,0
Viatris,Pharma ,Forbes Global 2000,Hyderabad / Secunderabad ,4,4,69,2800, 10k-50k ,14000,119,0
Thomson Reuters,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,4,16,24,1400, 5k-10k ,10300,77,0
Microsoft Corporation,Software Product ,Forbes Global 2000,Hyderabad / Secunderabad ,4,49,41,1500, 10k-50k ,23800,451,659
Nokia,Telecom ,Forbes Global 2000,Bangalore / Bengaluru ,4,159,152,2000, 10k-50k ,14200,220,0
Coforge,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,20,87,4000, 10k-50k ,37900,394,158
Oracle Cerner,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,45,5,1200, 5k-10k ,11500,137,0
Allsec Technologies,BPO ,Public,Chennai,4,24,26,1500, 1k-5k ,6400,92,18
Infinite Computer Solutions,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,23,28,1200, 1k-5k ,11500,109,273
Mercedes-Benz Research & Development India,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,28,47,1300, 5k-10k ,15200,162,127
Atos,IT Services & Consulting ,Forbes Global 2000,Chennai,3,27,42,2700, 10k-50k ,27600,248,0
Microland,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,35,40,1300, 1k-5k ,11000,102,0
KPIT Technologies,Software Product ,Public,Bangalore / Bengaluru ,3,34,32,2300, 5k-10k ,20300,221,0
Synchrony,Financial Services ,Forbes Global 2000,Hyderabad / Secunderabad ,4,92,8,995, 1k-5k ,5100,59,0
First American Corporation,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,3,30,14,1200, 1k-5k ,8100,64,34
Pristyn Care,Healthcare ,Indian Unicorn,Gurgaon / Gurugram ,3,6,28,864, 1k-5k ,3700,63,17
Orange Business,IT Services & Consulting ,Forbes Global 2000,Gurgaon / Gurugram ,4,32,46,1200, 1k-5k ,8800,85,0
ANZ Banking Group,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,4,17,16,908, 5k-10k ,7400,72,21
Sonata Software,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,38,12,885, 1k-5k ,10600,94,0
Fidelity National Financial,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,3,177,10,942, 1k-5k ,5900,46,0
Aon,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,3,84,18,1100, 5k-10k ,5500,48,0
VMware Software,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,4,26,17,999, 5k-10k ,10200,133,53
Birlasoft,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,29,36,2400, 10k-50k ,28100,242,0
CMS IT Services,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,10,138,2400, 5k-10k ,10500,101,0
NCR Corporation,IT Services & Consulting ,Forbes Global 2000,Hyderabad / Secunderabad ,4,140,80,1400, 5k-10k ,8500,88,116
Oracle Financial Services Software,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,34,17,1100, 10k-50k ,12500,127,0
Zensar Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,23,22,2200, 5k-10k ,26000,201,0
Tata Communications,Telecom ,Public,Chennai,4,38,87,3000, 5k-10k ,22500,219,0
Happiest Minds Technologies,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,13,14,827, 1k-5k ,9400,92,0
Gland Pharma,Pharma ,Fortune India 500,Hyderabad / Secunderabad ,3,46,26,1100, 1k-5k ,6000,65,0
Granules India,Pharma ,Public,Hyderabad / Secunderabad ,3,40,14,1100, 1k-5k ,5200,58,0
Salesforce,Software Product ,Public,Hyderabad / Secunderabad ,4,25,26,708, 5k-10k ,8500,217,110
AstraZeneca,Pharma ,Public,Chennai,4,25,42,744, 501-1k ,6000,35,0
Persistent Systems,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,34,34,3200, 10k-50k ,34500,456,0
BNP Paribas,Financial Services ,Forbes Global 2000,Chennai,3,176,22,1300, 10k-50k ,13500,142,0
Novo Nordisk,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,4,101,63,837, 1k-5k ,5100,69,0
Fujitsu,IT Services & Consulting ,Forbes Global 2000,Chennai,3,89,32,1800, 5k-10k ,15300,140,200
Test Yantra Software Solutions,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,17,16,726, 1k-5k ,20700,95,0
Better.com,Financial Services ,Startup,Gurgaon / Gurugram ,3,8,5,724, 1k-5k ,4000,48,28
Northern Trust Operating Services,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,4,135,16,981, 5k-10k ,7900,89,43
Bajaj Finserv,Financial Services ,Public,Hyderabad / Secunderabad ,4,17,909,7900, 50k-1 Lakh ,26200,417,0
Amdocs,Software Product ,Forbes Global 2000,Gurgaon / Gurugram ,4,42,14,3500, 10k-50k ,35300,439,0
Narayana Health,Healthcare ,Fortune India 500,Bangalore / Bengaluru ,4,24,59,1300, 10k-50k ,5300,51,26
Indus Towers,Telecom ,Fortune India 500,Gurgaon / Gurugram ,3,17,163,1800, 1k-5k ,7300,144,0
Ramco Systems,Software Product ,Public,Chennai,3,27,24,560, 1k-5k ,5200,34,0
Strides Pharma,Pharma ,Public,Bangalore / Bengaluru ,3,34,31,807, 201-500 ,3900,50,0
Cigniti Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,26,6,543, 1k-5k ,6300,62,15
Sun Life Financial,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,4,159,9,541, 1k-5k ,3900,35,53
Cipla,Pharma ,Public,Bangalore / Bengaluru ,4,89,240,6100, 10k-50k ,23900,416,88
Maveric Systems,IT Services & Consulting ,Public,Chennai,3,24,9,545, 1k-5k ,6600,95,0
3i Infotech,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,31,108,1700, 1k-5k ,10600,116,0
Morgan Stanley,Financial Services ,Forbes Global 2000,Bangalore / Bengaluru ,3,93,17,1300, 10k-50k ,19900,257,0
Freshworks,Software Product ,Public,Chennai,3,14,39,553, 1k-5k ,5200,123,0
Fortis Healthcare,Healthcare ,Public,Bangalore / Bengaluru ,4,28,61,1900, 1k-5k ,6900,111,0
Tech Mahindra Business Services,BPO ,Public,Hyderabad / Secunderabad ,3,21,49,2300, 5k-10k ,12500,247,0
Amadeus,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,37,14,506, 1k-5k ,6200,88,0
SAI Life Sciences,Pharma ,Public,Hyderabad / Secunderabad ,3,25,16,959, 1k-5k ,5000,68,0
1point1 Solutions,BPO ,Public,Gurgaon / Gurugram ,3,16,14,796, 5k-10k ,3000,62,54
Sun Pharmaceutical Industries,Pharma ,Public,Gurgaon / Gurugram ,4,41,209,5000, 10k-50k ,21000,316,128
GlaxoSmithKline Pharmaceuticals,Pharma ,Fortune India 500,Bangalore / Bengaluru ,4,194,182,1600, 1k-5k ,5000,88,0
Neuland Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,4,40,7,487, 1k-5k ,2500,35,0
Laurus Labs,Pharma ,Public,Hyderabad / Secunderabad ,4,19,15,1500, 5k-10k ,6500,90,0
Natco Pharma,Pharma ,Public,Hyderabad / Secunderabad ,4,43,48,665, 1k-5k ,3100,40,0
Philips Innovation Campus,Healthcare ,Public,Bangalore / Bengaluru ,3,26,16,432, 1k-5k ,3900,41,0
Amazon Web Services,Software Product ,Public,Bangalore / Bengaluru ,4,18,45,618, 10k-50k ,5200,143,0
Axiscades,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,34,10,387, 1k-5k ,3200,49,0
Ameriprise Financial,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,3,130,11,466, 1k-5k ,4100,45,0
Pfizer,Pharma ,Public,Chennai,4,20,114,1700, 1k-5k ,5800,59,0
AT&T,Telecom ,Forbes Global 2000,Bangalore / Bengaluru ,4,41,16,395, 5k-10k ,3800,41,0
Sasken,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,35,10,388, 1k-5k ,3600,57,0
Thermo Fisher Scientific,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,3,68,27,547, 1k-5k ,4400,44,0
Tata Teleservices,Telecom ,Public,Hyderabad / Secunderabad ,4,28,146,1500, 201-500 ,4300,28,0
Sanofi,Pharma ,Public,Hyderabad / Secunderabad ,4,20,72,1000, 1k-5k ,4000,59,199
HCL Infosystems,IT Services & Consulting ,Public,Chennai,4,48,104,1400, 51-200 ,9100,133,0
Invesco,Financial Services ,Forbes Global 2000,Hyderabad / Secunderabad ,3,89,6,316, 1k-5k ,2600,30,0
Eli Lilly and Company,Pharma ,Public,Bangalore / Bengaluru ,4,31,18,356, 1k-5k ,3000,41,78
Reliance Communications,Telecom ,Public,Hyderabad / Secunderabad ,4,22,428,3300, 201-500 ,11300,77,0
SS&C TECHNOLOGIES,IT Services & Consulting ,Forbes Global 2000,Hyderabad / Secunderabad ,3,38,26,1300, 5k-10k ,11900,135,95
DIVI'S Laboratories,Healthcare ,Public,Hyderabad / Secunderabad ,3,34,23,1300, 10k-50k ,5900,66,0
Mindsprint,IT Services & Consulting ,Forbes Global 2000,Chennai,3,17,11,303, 1k-5k ,4200,21,19
Citrix,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,3,35,5,324, 1k-5k ,2600,48,0
Macquarie Group,Financial Services ,Forbes Global 2000,Gurgaon / Gurugram ,3,55,11,331, 1k-5k ,3900,28,0
Abbott,Pharma ,Public,Hyderabad / Secunderabad ,4,136,172,2800, 10k-50k ,10800,128,147
Adobe,Software Product ,Public,Bangalore / Bengaluru ,4,42,15,920, 5k-10k ,10700,199,0
Rakuten,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,27,10,350, 1k-5k ,4200,69,0
ICICI Securities,Financial Services ,Public,Hyderabad / Secunderabad ,3,29,126,1700, 1k-5k ,8500,120,0
Kellton,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,15,17,306, 1k-5k ,3200,39,0
Jindal X,BPO ,Public,Gurgaon / Gurugram ,3,25,19,1100, 1k-5k ,2800,89,20
NetApp,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,32,7,304, 1k-5k ,3400,44,0
Samunnati Financial Intermediation and Services,Financial Services ,Startup,Chennai,4,10,52,483, 201-500 ,787,15,0
Onward Technologies Inc,Software Product ,Public,Chennai,3,33,61,810, 1k-5k ,5500,59,68
Equiniti,IT Services & Consulting ,Public,Chennai,3,10,2,273, 1k-5k ,2500,24,0
Healthians,Healthcare ,Startup,Gurgaon / Gurugram ,3,11,41,396, 1k-5k ,1700,34,0
Williams Lea,BPO ,Public,Chennai,4,204,15,404, 1k-5k ,3000,30,0
Tekion,Software Product ,Startup,Bangalore / Bengaluru ,3,8,4,254, 1k-5k ,2700,57,0
Datamatics Global Services,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,49,29,1800, 5k-10k ,11300,132,0
Bajaj Capital,Financial Services ,Public,Gurgaon / Gurugram ,3,60,147,1100, 1k-5k ,3600,67,0
ServiceNow,Software Product ,Public,Hyderabad / Secunderabad ,4,20,7,272, 1k-5k ,3700,78,0
Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,11,11,663, 1k-5k ,5600,133,67
JoulestoWatts Business Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,2,9,14,322, 201-500 ,2700,19,0
Max Healthcare,Healthcare ,Fortune India 500,Gurgaon / Gurugram ,4,23,59,2000, 1k-5k ,8300,97,0
Novartis Healthcare,Pharma ,Public,Hyderabad / Secunderabad ,4,28,25,314, 51-200 ,4100,20,0
Artemis Health Institute,Healthcare ,Public,Gurgaon / Gurugram ,4,17,10,281, 1k-5k ,955,11,0
Finastra,Software Product ,Startup,Bangalore / Bengaluru ,3,7,10,430, 1k-5k ,4600,41,0
Inspirisys Solution,IT Services & Consulting ,Public,Chennai,3,33,43,406, 1k-5k ,3300,35,0
Crisil,Financial Services ,Public,Gurgaon / Gurugram ,3,37,56,1400, 1k-5k ,11200,157,0
NoBrokerHOOD,Software Product ,Startup,Bangalore / Bengaluru ,3,9,27,616, 1k-5k ,1700,49,0
Portea Medical,Healthcare ,Startup,Bangalore / Bengaluru ,4,11,32,457, 1k-5k ,1300,22,0
MediBuddy,Healthcare ,Startup,Bangalore / Bengaluru ,3,11,15,289, 1k-5k ,1700,20,0
Black Knight,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,10,3,364, 501-1k ,3200,28,0
Health Care Global Enterprises,Healthcare ,Public,Bangalore / Bengaluru ,4,35,41,967, 5k-10k ,2400,45,0
Akamai Technologies,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,4,26,4,324, 1k-5k ,3200,46,0
Empower Retirement,Financial Services ,Public,Bangalore / Bengaluru ,3,133,3,235, 1k-5k ,2100,28,0
Johnson & Johnson,Pharma ,Forbes Global 2000,Gurgaon / Gurugram ,4,67,142,1200, 1k-5k ,5800,77,0
Baxter International,Healthcare ,Forbes Global 2000,Gurgaon / Gurugram ,4,93,26,561, 1k-5k ,3200,34,0
LKQ INDIA,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,26,2,219, 1k-5k ,1700,21,0
SirionLabs,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,3,12,5,220, 501-1k ,1700,17,0
T-SYSTEMS ICT INDIA,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,8,9,711, 1k-5k ,6700,66,24
Indifi Technologies,Financial Services ,Startup,Gurgaon / Gurugram ,3,9,8,222, 501-1k ,1400,14,48
Motilal Oswal Financial Services,Financial Services ,Public,Bangalore / Bengaluru ,3,37,130,2000, 10k-50k ,9300,166,71
Mankind Pharma,Pharma ,Fortune India 500,Gurgaon / Gurugram ,4,29,199,2100, 10k-50k ,8000,163,0
Reliance SMSL,BPO ,Public,Hyderabad / Secunderabad ,4,17,492,2300, 1k-5k ,5800,136,0
Bayer,Pharma ,Public,Bangalore / Bengaluru ,4,161,98,648, 10k-50k ,3900,40,0
Vyapar,Software Product ,Startup,Bangalore / Bengaluru ,3,7,29,282, 501-1k ,1100,30,38
TransUnion,Financial Services ,Forbes Global 2000,Chennai,4,56,9,318, 201-500 ,3600,67,62
Hindustan Wellness,Healthcare ,Startup,Gurgaon / Gurugram ,4,10,14,258, 501-1k ,705,18,0
GlaxoSmithKline Consumer Healthcare,Pharma ,Public,Gurgaon / Gurugram ,4,24,93,565, 1k-5k ,2100,23,0
Model N,Software Product ,Public,Hyderabad / Secunderabad ,4,25,1,191, 501-1k ,834,7,0
Synopsys,Software Product ,Public,Bangalore / Bengaluru ,3,38,10,286, 1k-5k ,2800,61,0
Dr Lal PathLabs,Healthcare ,Public,Gurgaon / Gurugram ,4,75,156,1400, 1k-5k ,4000,110,53
Aster Dm Healthcare,Healthcare ,Public,Bangalore / Bengaluru ,3,37,33,363, 1k-5k ,2100,32,38
IIC Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,30,21,307, 1k-5k ,1200,10,0
JK Tech,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,30,17,438, 501-1k ,3800,27,0
Computacenter,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,43,8,198, 1k-5k ,1500,30,14
Xchanging,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,26,10,220, 201-500 ,867,4,0
Samsung SDS,IT Services & Consulting ,Forbes Global 2000,Gurgaon / Gurugram ,3,39,19,261, 1k-5k ,1900,18,0
Ichhapurti.com,Software Product ,Startup,Gurgaon / Gurugram ,2,9,27,215, 51-200 ,665,18,0
ZTE Corporation,Telecom ,Forbes Global 2000,Gurgaon / Gurugram ,4,21,43,395, 201-500 ,1500,17,0
Darwinbox,Software Product ,Indian Unicorn,Hyderabad / Secunderabad ,3,9,9,185, 501-1k ,1800,35,0
Trimble,IT Services & Consulting ,Forbes Global 2000,Chennai,4,46,14,180, 1k-5k ,1800,16,0
Teva Pharmaceuticals,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,4,123,33,743, 1k-5k ,4000,54,0
Muthoot Group,Financial Services ,Public,Bangalore / Bengaluru ,3,137,265,1100, 10k-50k ,3800,59,0
CES,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,28,14,209, 1k-5k ,2100,33,0
Aditya Birla Capital,Financial Services ,Public,Hyderabad / Secunderabad ,4,7,194,1400, 10k-50k ,8200,117,0
DotPe,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,3,5,17,196, 201-500 ,1100,23,0
Dassault Systemes,Software Product ,Forbes Global 2000,Bangalore / Bengaluru ,4,43,9,796, 5k-10k ,6000,115,0
Cadsys,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,35,3,151, 201-500 ,471,5,0
Shilpa Medicare,Pharma ,Public,Hyderabad / Secunderabad ,3,37,28,627, 1k-5k ,3700,51,0
Yubi,Financial Services ,Indian Unicorn,Chennai,2,7,9,165, 501-1k ,1100,24,13
Avanze Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,4,214, 501-1k ,1100,19,0
Telesonic Networks,Telecom ,Public,Gurgaon / Gurugram ,3,15,44,304, 5k-10k ,1000,8,0
HostBooks,Software Product ,Public,Gurgaon / Gurugram ,3,15,9,168, 201-500 ,609,6,16
Nowfloats Technologies,Software Product ,Startup,Hyderabad / Secunderabad ,3,12,40,329, 201-500 ,1300,15,0
Labcorp,Healthcare ,Forbes Global 2000,Bangalore / Bengaluru ,4,55,9,254, 501-1k ,1800,38,0
Sagarsoft,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,28,2,133, 51-200 ,524,5,0
Kauvery Hospital,Healthcare ,Public,Chennai,4,25,12,289, 1k-5k ,1500,17,16
Boston Scientific,Healthcare ,Forbes Global 2000,Gurgaon / Gurugram ,4,45,16,165, 201-500 ,1400,13,0
TTK Healthcare,Healthcare ,Public,Chennai,4,96,72,350, 1k-5k ,1300,10,0
NexTurn,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,3,4,166, 51-200 ,122,20,62
Reventics,Healthcare ,Startup,Hyderabad / Secunderabad ,4,8,1,136, 201-500 ,775,11,0
Apollo Munich Health Insurance,Financial Services ,Public,Gurgaon / Gurugram ,4,17,108,465, 1k-5k ,1700,8,0
Bal Pharma,Pharma ,Public,Bangalore / Bengaluru ,3,37,18,213, 1k-5k ,1100,12,0
Alembic Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,4,117,155,2700, 10k-50k ,14000,180,71
Dr. Agarwal's Eye Hospital,Healthcare ,Public,Chennai,4,67,44,258, 1k-5k ,1100,19,0
Sharekhan,Financial Services ,Public,Bangalore / Bengaluru ,4,24,109,1000, 1k-5k ,4700,63,0
ARCADIS,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,15,24,190, 1k-5k ,1400,27,0
Aspiro Pharma,Pharma ,Startup,Hyderabad / Secunderabad ,3,12,2,187, 51-200 ,949,8,0
Newgen Software Technologies,IT Services & Consulting ,Public,Chennai,3,32,23,1000, 1k-5k ,10300,147,38
Piramal Group,Financial Services ,Fortune India 500,Hyderabad / Secunderabad ,4,44,124,1100, 10k-50k ,4700,55,40
Piramal Pharma,Pharma ,Public,Hyderabad / Secunderabad ,4,36,52,714, 1k-5k ,4100,72,349
BetterPlace Safety Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,10,141, 201-500 ,1100,12,11
Groww,Financial Services ,Indian Unicorn,Bangalore / Bengaluru ,3,7,10,180, 1k-5k ,1600,42,35
Ebix Software India,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,48,30,489, 1k-5k ,4800,24,33
CallHealth,Healthcare ,Startup,Hyderabad / Secunderabad ,3,11,15,180, 51-200 ,865,2,0
Vertiv,IT Services & Consulting ,Public,Gurgaon / Gurugram ,4,8,46,685, 51-200 ,3200,40,91
Locuz Enterprise Solutions,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,25,12,172, 501-1k ,1300,13,0
Intuit,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,3,19,9,138, 1k-5k ,2200,54,0
NEC,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,125,41,1100, 5k-10k ,3800,43,0
Olympus,Healthcare ,Forbes Global 2000,Gurgaon / Gurugram ,4,14,20,166, 201-500 ,945,5,0
VOIZ,BPO ,Startup,Bangalore / Bengaluru ,4,2,18,216, 201-500 ,129,18,0
Bharat Sanchar Nigam,Telecom ,Central,Bangalore / Bengaluru ,4,24,210,843, 50k-1 Lakh ,2700,31,0
Progressive Infotech,IT Services & Consulting ,Forbes Global 2000,Gurgaon / Gurugram ,3,26,55,562, 1k-5k ,2800,31,0
Autodesk,Software Product ,Public,Bangalore / Bengaluru ,4,42,21,184, 1k-5k ,2000,27,0
Net Access India,IT Services & Consulting ,Public,Chennai,4,27,25,145, 201-500 ,1100,13,0
Tietoevry,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,56,10,984, 1k-5k ,9000,68,41
Money View,Financial Services ,Startup,Bangalore / Bengaluru ,4,10,14,142, 51-200 ,1000,20,0
Yethi Consulting,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,11,11,190, 501-1k ,2000,28,0
Izmo,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,29,5,147, 51-200 ,745,8,0
Rimini Street,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,12,1,115, 501-1k ,711,4,0
Yalamanchili Software Exports,Software Product ,Public,Chennai,3,23,12,272, 51-200 ,1300,12,0
Junglee Games,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,3,12,7,120, 201-500 ,1100,20,0
Cytecare Cancer Hospital,Healthcare ,Startup,Bangalore / Bengaluru ,4,10,2,122, 201-500 ,442,6,0
Edelweiss,Financial Services ,Public,Bangalore / Bengaluru ,3,7,108,1000, 1k-5k ,7500,55,0
Cytecare Cancer Hospital,Healthcare ,Startup,Bangalore / Bengaluru ,4,10,2,122, 201-500 ,442,6,0
HDFC Securities,Financial Services ,Public,Bangalore / Bengaluru ,3,24,161,1200, 1k-5k ,5500,92,0
